"caseid","Treated","Treated_timer","weight_w2","Salience_1","Salience_2","Salience_3","Concern_humanity","Concern_myself","Govt","Highway","Policy_tax","Policy_goal","Behavior_donate","Behavior_march","Concern_humanity_w2","Concern_myself_w2","Govt_w2","Highway_w2","Policy_tax_w2","Policy_goal_w2","Behavior_donate_w2","Behavior_march_w2","Control_heardaction","Salience_1_w2","Salience_2_w2","Salience_3_w2","FT_next_block","FT_next","region","gender","age","profile_age_rec","hovedstaden","FT_next_wing","SalienceClim_any","SalienceClim_any_w2","SalienceClim_noenv","Manipulation_answer","Manipulation_correct","Manipulation_protest","SalienceClim_any_diff","Concern_humanity_diff","Concern_myself_diff","Govt_diff","Highway_diff","Policy_tax_diff","Policy_goal_diff","Behavior_donate_diff","Behavior_march_diff","Concern_diff","Policy_diff","Behavior_diff","Concern","Policy","Behavior","Concern_w2","Policy_w2","Behavior_w2"
5604021148,NA,NA,NA,"Sundhedsvæsnet","Landbrugets miljøsvineri","Unges mistrivsel",5,3,7,5,5,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",1,"B. Radikale Venstre","Capital region","Female",25,"18-34",TRUE,"left",TRUE,FALSE,FALSE,NA,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5610961724,NA,NA,NA,"?","?","?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"Ved ikke","Zealand","Female",74,"55+",FALSE,"other",FALSE,FALSE,FALSE,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5620754562,NA,NA,NA,"Krig i Ukraine","Indvandring,og Indvandrere der ikke arbejder, og er på offentlig forsørgelse","Offenlige overforbrug",4,3,4,1,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",2,"O. Dansk Folkeparti","Capital region","Male",85,"55+",TRUE,"right",FALSE,FALSE,FALSE,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5620869130,NA,NA,NA,"Immigration","Faldene kvalitet på sygehus området","Social ulighed",3,4,2,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"Vil stemme blankt","Southern Denmark","Male",37,"35-54",FALSE,"other",FALSE,FALSE,FALSE,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5623236500,NA,NA,NA,"Miljø","Energi","Udannelse",7,7,7,5,4,4,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",2,"C. Det Konservative Folkeparti","Capital region","Female",41,"35-54",TRUE,"right",TRUE,FALSE,FALSE,NA,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5624527288,NA,NA,NA,"Sundhedsområdet","Ældre området","Økonomi",4,6,4,2,4,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",2,"C. Det Konservative Folkeparti","Capital region","Female",55,"55+",TRUE,"right",FALSE,FALSE,FALSE,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5624527516,NA,NA,NA,"politiker","","",1,1,4,2,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"Vil ikke stemme","Capital region","Female",46,"35-54",TRUE,"other",FALSE,FALSE,FALSE,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5624550764,NA,NA,NA,"Problemer med politiske partier","","",5,3,3,1,3,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"Vil ikke svare","Capital region","Male",31,"18-34",TRUE,"other",FALSE,FALSE,FALSE,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5624797258,NA,NA,NA,"Ældreområdet","Sundhedsvæsnet","Børne- og ungeområdet",4,5,5,4,4,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"Vil stemme blankt","Zealand","Female",22,"18-34",FALSE,"other",FALSE,FALSE,FALSE,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5624970420,NA,NA,NA,"Iltsvind","Krigseffekter","Sundhedssektoren",5,5,7,4,3,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",2,"I. Liberal Alliance","Capital region","Male",29,"18-34",TRUE,"right",TRUE,FALSE,FALSE,NA,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
